fraud_reported,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,months_as_customer,insured_zip,age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year
N,113516,10/13/1990,IL,500/1000,500,1192.27,0,255,600184,45,MALE,High School,sales,base-jumping,0,-40200,1/4/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,NC,Riverwood,3311 2nd Drive,16,1,NO,2,0,YES,67320,12240,12240,42840,Ford,Fusion,2006
N,114839,1/1/2006,IL,250/500,500,1198.34,4000000,362,619735,50,MALE,Associate,sales,board-games,53000,-72500,1/7/2015,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,8655 Cherokee Lane,17,3,UNKNOWN,1,1,NO,57060,6340,6340,44380,Mercedes,E400,1995
Y,115399,2/8/1991,IN,100/300,2000,1268.79,0,413,453148,55,MALE,MD,priv-house-serv,chess,0,-31000,1/19/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15,1,UNKNOWN,2,2,UNKNOWN,98160,8180,16360,73620,Dodge,RAM,2011
Y,116645,6/30/2004,OH,100/300,2000,1255.62,0,313,603882,50,MALE,MD,armed-forces,polo,0,0,2/2/2015,Multi-vehicle Collision,Side Collision,Major Damage,Other,OH,Northbrook,6206 3rd Ridge,18,3,YES,2,1,YES,69000,13800,6900,48300,Ford,F150,1995
N,116700,2/2/2001,OH,100/300,1000,1425.54,0,120,475847,35,FEMALE,High School,transport-moving,bungie-jumping,78300,0,1/15/2015,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,5053 Tree Drive,22,3,NO,2,0,NO,51210,11380,5690,34140,Ford,Fusion,2010
N,116735,1/28/2010,OH,250/500,500,1191.5,0,209,442866,38,MALE,High School,priv-house-serv,reading,38600,-52900,1/31/2015,Single Vehicle Collision,Rear Collision,Total Loss,Police,WV,Arlington,3492 Flute Lane,8,1,NO,2,0,UNKNOWN,80100,8900,8900,62300,Audi,A3,2015
N,117862,7/14/2000,OH,500/1000,2000,979.26,0,140,436364,36,FEMALE,JD,transport-moving,cross-fit,0,-67000,3/1/2015,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Riverwood,7495 Washington Ave,2,4,YES,0,2,YES,72800,14560,14560,43680,Honda,Accord,1998
N,118137,2/10/1998,OH,100/300,500,1238.65,0,242,468702,40,FEMALE,High School,transport-moving,bungie-jumping,0,-44600,1/27/2015,Vehicle Theft,NA,Trivial Damage,Police,WV,Springfield,9744 Texas Drive,5,1,YES,1,1,NO,7480,680,680,6120,Saab,95,1998
N,118236,8/15/2000,OH,100/300,1000,1648,0,214,608405,40,MALE,JD,transport-moving,base-jumping,57700,-43500,2/4/2015,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Northbrook,6638 Tree Drive,17,1,NO,1,0,YES,44220,8040,4020,32160,Accura,MDX,2000
Y,119513,9/21/1996,IL,100/300,1000,1384.51,0,82,476727,27,MALE,PhD,adm-clerical,reading,13100,-38200,2/18/2015,Single Vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,9484 Pine Drive,14,1,NO,2,3,UNKNOWN,71680,8960,8960,53760,Volkswagen,Jetta,2007
Y,120485,2/18/2007,OH,100/300,1000,1275.39,0,375,466283,50,MALE,Associate,sales,bungie-jumping,0,0,2/12/2015,Single Vehicle Collision,Front Collision,Major Damage,Police,NY,Riverwood,8150 Washington Ridge,16,1,YES,2,3,NO,37280,0,0,37280,Audi,A5,1996
Y,121439,8/2/1990,IN,500/1000,500,1257.83,7000000,157,458622,31,MALE,High School,farming-fishing,reading,40700,-41600,2/14/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,6738 Washington Hwy,2,4,NO,2,2,NO,47700,4770,9540,33390,Accura,TL,2011
N,125324,9/13/2003,OH,500/1000,2000,1712.68,0,53,614233,36,MALE,Associate,handlers-cleaners,basketball,72200,0,2/18/2015,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Riverwood,4053 Sky Lane,17,3,UNKNOWN,2,0,YES,51100,10220,5110,35770,Audi,A3,2006
N,125591,8/8/2013,IN,500/1000,1000,1412.06,5000000,187,450947,37,FEMALE,Masters,protective-serv,reading,60100,0,1/16/2015,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,NC,Riverwood,7082 Oak Ridge,21,1,UNKNOWN,0,3,UNKNOWN,57700,5770,5770,46160,Nissan,Maxima,2000
N,127313,4/1/2002,IN,100/300,1000,1004.63,6000000,163,460359,31,MALE,JD,priv-house-serv,hiking,26900,0,1/7/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,3439 Andromedia Hwy,14,3,YES,2,0,NO,63910,5810,11620,46480,Suburu,Forrestor,1999
Y,127754,6/6/1993,IL,250/500,2000,1136.83,4000000,61,471300,23,FEMALE,Associate,tech-support,exercise,0,-62400,2/2/2015,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,1331 Britain Hwy,14,1,NO,0,3,UNKNOWN,98340,8940,17880,71520,Honda,Accord,2004
Y,129872,8/8/2010,OH,100/300,1000,1334.15,6000000,147,479224,33,MALE,High School,craft-repair,reading,53300,-49200,1/24/2015,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,1,YES,2,0,YES,53100,10620,5310,37170,Mercedes,C300,1995
N,130156,9/24/2001,IL,250/500,2000,1277.12,0,322,431853,49,FEMALE,PhD,armed-forces,kayaking,0,-46000,1/19/2015,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,WV,Hillsdale,6731 Andromedia Hwy,18,1,UNKNOWN,0,2,YES,42240,7680,7680,26880,Chevrolet,Malibu,2007
N,130930,7/23/2014,IN,100/300,1000,1058.21,3000000,99,618655,32,MALE,JD,craft-repair,golf,0,0,1/10/2015,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Arlington,2376 Sky Ridge,17,1,YES,1,1,NO,41130,4570,4570,31990,Dodge,RAM,1999
N,131478,12/25/1991,IL,500/1000,1000,1346.27,0,210,468508,35,MALE,Masters,farming-fishing,cross-fit,44900,-91400,1/3/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Arlington,6492 4th Lane,11,1,NO,0,2,UNKNOWN,58200,5820,5820,46560,BMW,X5,2013
N,132871,7/5/2009,IL,100/300,500,947.75,0,259,458470,43,FEMALE,Masters,farming-fishing,base-jumping,0,-39300,2/3/2015,Vehicle Theft,NA,Trivial Damage,Police,SC,Riverwood,2873 Flute Ave,15,1,NO,1,3,NO,7680,1280,640,5760,Audi,A5,2008
Y,132902,4/24/2007,OH,250/500,2000,1641.73,5000000,295,450149,42,MALE,PhD,sales,chess,62400,0,1/20/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,1269 Flute Drive,16,3,NO,0,0,NO,59130,6570,6570,45990,Ford,Escape,2006
N,133889,6/14/2004,OH,250/500,2000,1441.6,5000000,65,472223,29,FEMALE,MD,sales,kayaking,0,0,1/12/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NC,Columbus,2253 Maple Ave,21,3,YES,0,0,UNKNOWN,62900,6290,12580,44030,Jeep,Grand Cherokee,1998
N,134430,12/6/2006,IN,250/500,2000,1488.02,0,238,600275,39,FEMALE,JD,protective-serv,exercise,0,-39200,2/25/2015,Vehicle Theft,NA,Minor Damage,Police,NY,Northbrook,5445 Tree Hwy,9,1,YES,1,3,YES,5500,1100,550,3850,Chevrolet,Tahoe,2010
N,135400,1/20/2014,IN,500/1000,500,989.97,0,290,462519,42,MALE,Masters,machine-op-inspct,kayaking,32500,0,1/20/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Hillsdale,3618 Sky Ave,10,1,NO,0,1,NO,48000,4800,9600,33600,Saab,95,2013
N,136520,3/1/1997,IN,100/300,500,1450.98,0,228,478609,40,MALE,Associate,exec-managerial,base-jumping,43700,0,1/18/2015,Parked Car,NA,Trivial Damage,Police,WV,Northbend,4702 Texas Drive,20,1,UNKNOWN,0,2,NO,6050,1100,1100,3850,Toyota,Camry,2010
Y,137675,12/3/2012,IL,100/300,2000,1836.02,0,123,470559,28,MALE,Masters,transport-moving,movies,38000,-41200,1/1/2015,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Riverwood,4335 1st St,5,1,UNKNOWN,2,1,YES,79800,13300,6650,59850,Volkswagen,Passat,2011
N,139484,7/24/1999,IN,500/1000,2000,1142.62,7000000,278,475588,48,FEMALE,MD,farming-fishing,dancing,0,-54000,1/16/2015,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Northbrook,7523 Oak Lane,12,1,UNKNOWN,2,0,UNKNOWN,76050,11700,11700,52650,Chevrolet,Silverado,1997
N,139872,6/1/2006,IN,250/500,1000,1220.71,0,122,603639,34,MALE,PhD,machine-op-inspct,video-games,58600,-28700,2/27/2015,Parked Car,NA,Minor Damage,None,SC,Northbend,9101 2nd Hwy,5,1,UNKNOWN,2,1,YES,8190,1890,1260,5040,Chevrolet,Silverado,2013
N,140880,3/29/2005,IL,250/500,500,1448.84,0,276,430987,46,FEMALE,Masters,machine-op-inspct,bungie-jumping,0,-50000,2/21/2015,Parked Car,NA,Trivial Damage,Police,SC,Hillsdale,7783 Lincoln Hwy,7,1,UNKNOWN,0,1,NO,5940,660,660,4620,Toyota,Highlander,2015
N,140977,8/18/2006,IN,100/300,1000,1310.71,0,124,469875,32,FEMALE,Masters,farming-fishing,kayaking,29300,0,2/25/2015,Single Vehicle Collision,Side Collision,Total Loss,Ambulance,NY,Columbus,9418 5th Hwy,23,1,YES,0,1,NO,57700,5770,5770,46160,Toyota,Camry,2003
Y,143038,9/17/2014,OH,500/1000,500,795.31,0,80,441923,27,MALE,JD,farming-fishing,skydiving,0,-51000,2/12/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,OH,Arlington,9719 4th Lane,16,3,YES,1,3,UNKNOWN,40810,3710,7420,29680,Ford,F150,2000
N,143109,7/9/2001,OH,250/500,500,1453.95,0,255,470389,39,FEMALE,PhD,armed-forces,bungie-jumping,38200,0,1/7/2015,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,Springfield,3443 Maple Ridge,17,3,YES,0,3,NO,29300,2930,5860,20510,Audi,A3,2010
N,143626,9/29/1999,OH,250/500,2000,1124.38,0,390,618316,51,MALE,Associate,armed-forces,reading,0,0,2/24/2015,Vehicle Theft,NA,Minor Damage,None,VA,Northbrook,4574 Britain Hwy,9,1,YES,1,1,YES,7080,1180,1180,4720,Ford,F150,2001
N,143924,12/10/1993,OH,100/300,1000,1141.1,0,75,468515,27,MALE,JD,armed-forces,movies,0,0,2/28/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,3618 Maple Lane,15,2,UNKNOWN,0,1,YES,71640,5970,11940,53730,Toyota,Highlander,2008
N,143972,8/2/1992,IN,500/1000,2000,1475.73,0,196,477670,39,FEMALE,High School,handlers-cleaners,camping,57000,-27300,2/22/2015,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,3,UNKNOWN,2,0,NO,60400,6040,6040,48320,Nissan,Pathfinder,2014
N,144323,9/14/2001,IN,500/1000,500,885.08,0,245,459984,40,FEMALE,Masters,armed-forces,skydiving,27000,-58900,2/6/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbend,4098 Weaver Ridge,0,1,YES,0,1,NO,85150,13100,13100,58950,Chevrolet,Malibu,1998
N,146138,3/1/2002,IN,250/500,2000,1025.54,0,94,442632,30,FEMALE,High School,armed-forces,paintball,0,-52600,2/20/2015,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,1840 Embaracadero Ave,19,1,UNKNOWN,1,3,YES,64100,6410,6410,51280,Chevrolet,Malibu,2001
N,148498,1/4/2002,IN,250/500,2000,1112.04,6000000,108,472209,31,FEMALE,PhD,other-service,base-jumping,52800,-54300,1/13/2015,Parked Car,NA,Minor Damage,None,SC,Arlington,7583 Washington Ave,5,1,NO,1,3,NO,4290,780,780,2730,Volkswagen,Passat,1998
Y,149367,3/18/2003,IN,100/300,500,1298.91,6000000,453,459504,60,MALE,PhD,craft-repair,dancing,52600,-38800,1/6/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,NC,Springfield,7253 MLK St,0,1,YES,0,0,UNKNOWN,70000,14000,7000,49000,Ford,F150,2015
N,149467,3/11/2014,OH,500/1000,1000,1601.47,0,43,465764,38,MALE,PhD,handlers-cleaners,skydiving,64400,0,2/15/2015,Multi-vehicle Collision,Front Collision,Total Loss,Other,SC,Columbus,2903 Weaver Drive,1,3,YES,2,2,UNKNOWN,61650,6850,6850,47950,Nissan,Ultima,2006
N,149601,3/28/2003,IN,500/1000,500,1232.57,0,187,612986,34,FEMALE,PhD,machine-op-inspct,polo,59500,0,2/22/2015,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Arlington,5191 4th St,7,3,UNKNOWN,0,0,UNKNOWN,45100,8200,4100,32800,Nissan,Pathfinder,2011
N,149839,9/21/1990,OH,100/300,1000,1457.65,5000000,146,606219,31,FEMALE,College,armed-forces,camping,0,0,2/3/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,VA,Riverwood,1110 4th Drive,0,3,NO,1,3,UNKNOWN,52380,5820,5820,40740,Toyota,Highlander,2010
N,150181,5/6/2007,IL,500/1000,2000,927.23,0,129,450730,30,FEMALE,PhD,sales,video-games,51500,0,1/13/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Hillsdale,9245 Weaver Ridge,7,1,NO,1,3,UNKNOWN,74360,13520,6760,54080,Suburu,Forrestor,2009
N,153027,3/11/2010,IN,250/500,500,1667.83,0,137,460586,35,MALE,JD,prof-specialty,paintball,48500,-67400,2/4/2015,Parked Car,NA,Minor Damage,Police,WV,Northbrook,4447 Francis Hwy,4,1,YES,1,1,NO,6600,1200,1200,4200,Jeep,Grand Cherokee,2005
N,153154,8/21/2010,OH,500/1000,1000,1338.55,0,436,430380,59,MALE,PhD,protective-serv,board-games,39000,0,1/12/2015,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,6355 4th Hwy,10,3,UNKNOWN,2,2,NO,68000,13600,6800,47600,Toyota,Corolla,2014
N,153298,3/23/2009,OH,100/300,500,990.11,0,130,442666,34,MALE,Masters,sales,kayaking,0,-41200,1/10/2015,Parked Car,NA,Trivial Damage,None,NY,Riverwood,8872 Oak Ridge,8,1,UNKNOWN,1,3,YES,5830,1060,1060,3710,Dodge,RAM,2015
N,154280,1/29/1993,IL,250/500,1000,1447.78,0,73,467947,29,MALE,College,protective-serv,board-games,35100,-59900,1/10/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Other,SC,Arlington,8689 Maple Hwy,15,3,YES,1,0,UNKNOWN,44910,4990,4990,34930,Dodge,Neon,2001
N,154982,2/13/1991,IL,500/1000,2000,1374.22,0,107,470603,31,FEMALE,PhD,machine-op-inspct,bungie-jumping,62000,-63100,2/26/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Hillsdale,8118 Elm Ridge,16,1,NO,0,3,NO,51260,9320,9320,32620,Suburu,Legacy,2002
Y,155604,3/3/1992,OH,500/1000,500,1185.44,0,175,437580,36,MALE,Masters,exec-managerial,kayaking,44900,-52500,1/30/2015,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Northbend,4477 5th Ave,15,3,YES,2,1,YES,42680,3880,7760,31040,Accura,RSX,2006
Y,155724,2/20/1998,IL,250/500,500,1394.43,0,203,606352,38,FEMALE,Masters,other-service,skydiving,0,0,1/31/2015,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,VA,Columbus,5071 Flute Ridge,7,1,UNKNOWN,0,1,YES,55440,0,6160,49280,Nissan,Maxima,1999
Y,155912,3/21/2008,OH,100/300,1000,1520.78,0,140,470538,35,FEMALE,High School,craft-repair,chess,0,-42900,1/21/2015,Parked Car,NA,Trivial Damage,None,SC,Columbus,3320 5th Hwy,5,1,UNKNOWN,0,2,YES,2860,520,260,2080,Chevrolet,Tahoe,1997
N,156636,9/10/2000,IN,100/300,1000,870.55,0,261,465631,46,MALE,PhD,prof-specialty,camping,0,-49400,1/27/2015,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Springfield,1532 Washington St,19,1,UNKNOWN,0,3,UNKNOWN,80280,13380,13380,53520,Chevrolet,Tahoe,2013
N,156694,5/24/2001,IL,500/1000,500,1238.89,0,334,600561,47,MALE,Masters,protective-serv,sleeping,0,0,1/31/2015,Vehicle Theft,NA,Minor Damage,None,WV,Northbend,9154 MLK Hwy,3,1,UNKNOWN,0,3,NO,6240,960,960,4320,Ford,Fusion,2011
N,159243,9/19/1991,IL,250/500,2000,1681.01,0,64,446174,30,MALE,JD,protective-serv,base-jumping,0,-51100,2/7/2015,Parked Car,NA,Minor Damage,None,SC,Riverwood,3006 Lincoln Ridge,16,1,NO,2,1,NO,4900,490,1470,2940,Jeep,Wrangler,2015
N,159536,2/4/2013,IL,100/300,2000,1101.85,0,285,457875,48,FEMALE,College,sales,dancing,46100,0,2/27/2015,Single Vehicle Collision,Side Collision,Minor Damage,Police,PA,Springfield,3171 Andromedia Lane,9,1,NO,1,2,YES,33480,3720,3720,26040,Nissan,Pathfinder,2012
N,159768,9/3/2008,IN,250/500,500,1259.02,0,85,439534,25,FEMALE,JD,tech-support,base-jumping,67000,-53600,2/16/2015,Parked Car,NA,Trivial Damage,None,SC,Northbend,7529 Solo Ridge,8,1,NO,2,2,UNKNOWN,5640,940,940,3760,Nissan,Ultima,2005
N,162004,9/19/1995,IL,250/500,500,903.32,0,1,451184,33,FEMALE,High School,transport-moving,yachting,0,0,1/19/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,5925 Tree Hwy,1,3,UNKNOWN,1,0,UNKNOWN,31700,6340,3170,22190,Toyota,Highlander,2006
Y,163161,11/11/1998,IL,500/1000,2000,1338.5,0,298,618929,47,FEMALE,PhD,machine-op-inspct,basketball,28800,0,2/2/2015,Single Vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,2306 5th Lane,1,1,UNKNOWN,0,0,UNKNOWN,70590,10860,10860,48870,Saab,93,2000
N,164464,9/26/2010,OH,250/500,500,1294.41,0,41,476315,33,MALE,High School,transport-moving,sleeping,0,0,2/23/2015,Vehicle Theft,NA,Minor Damage,None,NC,Arlington,4994 Lincoln Drive,8,1,YES,0,0,UNKNOWN,8970,1380,1380,6210,Dodge,Neon,2011
N,164988,12/23/2013,IL,100/300,2000,1290.74,5000000,316,430832,45,FEMALE,High School,prof-specialty,kayaking,58300,0,2/12/2015,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,Springfield,5868 Sky Hwy,6,3,NO,2,0,YES,78870,7170,14340,57360,Suburu,Legacy,2013
N,165485,2/12/1998,IL,500/1000,2000,1320.75,0,106,441491,31,FEMALE,JD,farming-fishing,video-games,54100,0,2/1/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,Springfield,6315 2nd Lane,20,3,UNKNOWN,0,3,YES,45630,5070,5070,35490,Accura,MDX,2011
N,165565,2/20/2009,OH,250/500,2000,1628,0,186,606487,37,FEMALE,JD,priv-house-serv,exercise,0,0,1/28/2015,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Hillsdale,9910 Maple Ave,22,1,YES,1,2,YES,55600,11120,5560,38920,Jeep,Grand Cherokee,2009
N,166264,1/12/2010,OH,500/1000,1000,1038.09,0,270,476978,45,FEMALE,College,handlers-cleaners,golf,0,-19700,1/14/2015,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,2078 3rd Ave,18,3,NO,1,1,YES,89400,14900,7450,67050,Suburu,Legacy,1998
N,167231,1/26/1994,IN,100/300,2000,1472.77,0,66,471366,28,MALE,Associate,adm-clerical,exercise,0,-31700,2/17/2015,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,Springfield,2850 Washington St,0,1,UNKNOWN,2,1,UNKNOWN,48290,8780,8780,30730,Nissan,Maxima,1995
N,167466,3/17/2010,OH,100/300,1000,1255.35,0,212,454176,39,FEMALE,JD,protective-serv,skydiving,60300,-58900,2/14/2015,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,3929 Oak Drive,22,2,NO,0,3,YES,59300,11860,5930,41510,Dodge,RAM,2008
Y,168151,4/24/1995,OH,500/1000,2000,1281.25,0,279,463583,43,MALE,Associate,machine-op-inspct,cross-fit,0,0,1/17/2015,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,7859 4th Ridge,13,1,YES,0,1,NO,57690,6410,12820,38460,Mercedes,C300,2010
N,168260,3/1/1991,OH,250/500,1000,1168.8,0,284,444232,48,FEMALE,JD,tech-support,movies,0,-42400,2/28/2015,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3660 Andromedia Hwy,11,1,UNKNOWN,0,3,YES,35750,6500,3250,26000,Mercedes,E400,2001
N,171147,8/29/2010,IL,100/300,2000,714.03,0,410,465979,54,MALE,MD,protective-serv,board-games,0,-17000,2/16/2015,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Northbend,5765 Washington St,0,1,YES,0,2,NO,59520,9920,9920,39680,Honda,Accord,2001
N,171183,2/1/1990,IN,100/300,500,671.92,0,98,468300,31,MALE,Masters,machine-op-inspct,bungie-jumping,0,-26400,1/24/2015,Single Vehicle Collision,Front Collision,Minor Damage,Other,NC,Riverwood,5790 Flute Ridge,3,1,UNKNOWN,2,0,UNKNOWN,64080,7120,7120,49840,Ford,Escape,1997
N,171254,11/7/1994,OH,100/300,2000,1512.58,0,285,452496,43,FEMALE,College,sales,paintball,47600,0,1/13/2015,Vehicle Theft,NA,Minor Damage,Police,SC,Arlington,8718 Apache Lane,7,1,UNKNOWN,1,1,UNKNOWN,2520,280,280,1960,BMW,3 Series,1997
